{-21,1,-11,-8,-8,-8,-10,-12,-9,-9,-9,-9,-10,-65,36,-17,-15,-14,-11,-3,-21,-11,-12,-10,-4,-16,-2,-20,-5,-18,-14,-13,-1,-3,-9,-14,-11,-7,-5,
-22,2,-11,-9,-9,-8,-9,-12,-9,-8,-9,-8,-11,-63,33,-14,-16,-15,-11,-3,-18,-11,-13,-11,-6,-14,22,-44,1,-16,-14,-13,-6,4,-9,-15,-13,-15,0,
-23,3,-11,-10,-10,-9,-7,-12,-9,-8,-8,-7,-11,-56,24,-10,-15,-15,-13,-3,-13,-11,-13,-11,-9,-13,32,-58,4,-8,-10,-15,-13,7,-10,-12,-12,-22,-2,
-23,3,-11,-10,-9,-9,-7,-11,-9,-9,-9,-7,-10,-47,10,-6,-13,-12,-14,-2,-8,-13,-13,-11,-13,-11,18,-53,0,0,-3,-13,-17,4,-15,-10,-11,-27,-6,
-24,3,-10,-10,-10,-9,-7,-11,-9,-9,-9,-7,-10,-33,-8,-2,-9,-10,-15,-3,-1,-15,-13,-11,-19,-9,-23,-20,-9,8,1,-10,-21,-7,-19,-9,-10,-28,-13,
-25,3,-9,-10,-10,-9,-7,-11,-9,-10,-9,-8,-9,-36,-10,-2,-3,-6,-15,-6,0,-16,-14,-10,-22,-10,-24,-15,-12,3,-2,-11,-15,-12,-16,-8,-5,-19,-17,
-26,3,-9,-9,-10,-10,-7,-10,-9,-9,-9,-9,-10,-40,-12,-1,0,-3,-14,-9,-1,-18,-14,-8,-23,-10,-23,-10,-13,-3,-4,-10,-10,-14,-14,-11,-3,-8,-16,
-28,3,-9,-9,-8,-9,-7,-10,-11,-9,-9,-10,-10,-44,-12,0,1,-2,-12,-10,-3,-18,-13,-5,-23,-12,-15,-9,-10,-13,-8,-8,-11,-15,-11,-15,-5,0,-10,
-30,2,-9,-7,-8,-10,-6,-9,-11,-10,-9,-11,-10,-44,-12,0,0,-2,-11,-12,-5,-18,-14,-4,-19,-12,-7,-11,-4,-21,-16,-3,-16,-17,-4,-12,-8,1,-6,
-31,3,-8,-7,-8,-10,-6,-9,-11,-10,-8,-11,-11,-42,-15,2,-2,-4,-7,-14,-6,-16,-13,-4,-15,-11,-1,-15,-3,-21,-21,-1,-20,-13,-4,-9,-13,-1,-6,
