{-23,-3,-8,-7,-7,-8,-7,-12,-9,-8,-9,-9,-9,-70,17,-13,0,-2,-18,-6,-22,-10,-8,-15,-8,-14,24,-18,-17,-14,-10,-23,-19,-1,-5,-13,-13,-5,-9,
-23,-3,-8,-6,-7,-8,-7,-12,-9,-8,-9,-9,-9,-62,14,-14,0,-2,-20,-8,-20,-9,-10,-14,-7,-13,52,-32,-17,-18,-12,-19,-22,4,-5,-16,-10,-6,-6,
-22,-3,-9,-6,-7,-9,-7,-11,-9,-8,-9,-9,-9,-45,7,-14,-2,-4,-21,-11,-15,-7,-11,-13,-7,-12,63,-41,-12,-21,-18,-13,-21,7,-7,-16,-5,-8,-5,
-20,-3,-9,-6,-7,-10,-8,-11,-9,-8,-9,-8,-9,-22,-1,-13,-6,-7,-21,-14,-9,-6,-13,-11,-6,-10,43,-36,-6,-20,-20,-7,-17,3,-10,-16,-3,-12,-6,
-20,-3,-9,-7,-7,-11,-8,-10,-8,-8,-9,-8,-9,5,-14,-12,-10,-11,-21,-18,-1,-6,-15,-9,-7,-8,-19,-15,-1,-13,-16,-1,-8,-10,-16,-13,-5,-16,-11,
-20,-3,-9,-6,-6,-10,-8,-11,-8,-9,-9,-8,-9,1,-14,-9,-10,-13,-18,-17,-1,-9,-16,-7,-7,-9,-25,-14,-1,-8,-17,-2,-6,-11,-16,-14,-9,-16,-13,
-19,-3,-9,-6,-7,-10,-8,-10,-8,-8,-9,-8,-9,-6,-13,-7,-8,-14,-15,-14,-3,-10,-17,-6,-10,-10,-23,-9,-7,-4,-14,-6,-6,-13,-15,-11,-10,-15,-14,
-19,-3,-8,-7,-7,-11,-8,-9,-8,-9,-9,-8,-9,-13,-12,-5,-6,-14,-12,-12,-4,-12,-17,-6,-11,-10,-22,-4,-11,-6,-9,-9,-8,-15,-14,-10,-12,-12,-12,
-19,-4,-8,-7,-7,-11,-9,-9,-8,-9,-9,-8,-9,-17,-11,-5,-6,-12,-9,-12,-6,-13,-18,-6,-12,-11,-25,-4,-13,-9,-2,-8,-9,-17,-11,-11,-13,-11,-13,
-20,-4,-8,-6,-8,-11,-8,-9,-8,-10,-9,-8,-9,-20,-11,-5,-5,-10,-8,-12,-7,-12,-18,-7,-12,-12,-25,-8,-14,-8,-1,-4,-11,-17,-9,-11,-11,-12,-12,
-20,-3,-8,-5,-8,-11,-8,-9,-8,-9,-8,-8,-9,-24,-11,-6,-4,-7,-6,-12,-9,-11,-18,-9,-12,-13,-15,-16,-11,-11,-6,-4,-12,-12,-8,-9,-13,-11,-12,
-21,-3,-8,-5,-7,-10,-8,-9,-9,-10,-8,-8,-9,-26,-12,-7,-4,-6,-4,-11,-9,-11,-16,-9,-13,-13,-8,-18,-11,-14,-9,-6,-13,-9,-9,-8,-13,-11,-11,
-22,-3,-8,-6,-7,-10,-9,-10,-9,-10,-8,-8,-9,-25,-12,-8,-5,-6,-2,-11,-8,-11,-15,-9,-14,-13,-4,-17,-13,-14,-12,-9,-11,-6,-11,-7,-11,-13,-11,
